ཕྲད,འཕྲད
ཕྲས,འཕྲ
ཕྲི,འཕྲི
ཕྲུགས,འཕྲུག
ཕྲུལ,འབྲུལ
ཕྲོག,དབྲོག
ཕྲོད,འབྲད
ཕྲོབས,འབྲབ
ཕྲོས,འབྲོས
བཀག,འགོག
བཀང,འགེངས
བཀད,འགད
བཀབ,འགེབ
བཀས,འགས
བཀུག,འགུགས
བཀུམ,འགུམ
བཀོག,འགོག
བཀོད,འགོད
བཀོལ,འཁོལ
བཀྱིག,འཁྱིག
བཀྱིགས,འཁྱིག
བཀྱེ,འགྱེད
བཀྱེད,འགྱེད
བཀྱེས,འགྱེད
བཀྲབ,འཁྲབ
བཀྲལ,འགྲེལ
བཀྲི,འཁྲིད
བཀྲིས,འཁྲིད
བཀྲུ,འཁྲུད
བཀྲུམས,དཀྲུམ
བཀྲུས,འཁྲུད
བཀྲོངས,དགྲོང
བཀྲོབས,འཁྲབ
བཀླག,ཀློག
བཀླགས,ཀློག
བཀླུབ,ཀླུབ
བཀླུབས,ཀླུབ
བགག,བསྒག
བགད,དགོད
བགམས,བགམ
བགོགས,བསྒགས
བགོམ,འགོམ
བགྱི,བགྱིད
བགྱིས,བགྱིད
བགྲངས,བགྲང
བགྲོང,དགྲོང
བགྲོངས,བགྲང
བགྲོད,བགྲད
བངས,བང འདས་པ།
བཅགས,འཆག
བཅད,གཅོད
བཅབ,འཆབ
བཅབས,འཆབ
བཅམས,གཅོམ
བཅར,གཅར
བཅལ,འཇལ
བཅིབ,འཆིབ
བཅིབས,འཆིབ
བཅིར,འཆིར
བཅིལ,འཇིལ
བཅུག,འཇུག
བཅུམ,འཇུམ
བཅུམས,འཇུམ
བཅུར,འཇུར
བཅེམ,ཅེམ
བཅེམས,ཅེམ
བཅོ,འཆོས
བཏང,གཏོང
བཏབ,འདེབས
བཏམ,འདམ
བཏམས,འདམ
བཏིག,གཏིག
བཏིགས,གཏིག
བཏིངས,འདིང
བཏུང,འཐུང
བཏུངས,འཐུང
བཏུད,འདུད
བཏུལ,འདུལ
བཏེགས,ཐེག
བཏོག,འཐོག
བཏོགས,འཐོག
བཏོན,འདོན
བདམས,བདམ
བདའ,འདེད
བདས,འདེད
བདུག,གདུག
བདུགས,གདུག
བདོད,བཏོད
བདོར,བདར
བདོལ,བདལ
བབས,འབབ
བཙག,འཚག
བཙགས,འཚག
བཙང,འཚང
བཙངས,འཚང
བཙབ,གཙབས
བཙབས,གཙབས
བཙས,བཙའ
བཙུགས,འཛུགས
བཙུད,འཛུད
བཙུམས,འཚུམ
བཙེམ,འཚེམ
བཙེམས,འཚེམ
བཙེས,གཙེ
བཙོ,འཚོད
བཙོག,འཚོག
བཙོང,འཚོང
བཙོངས,འཚོང
བཙོས,འཚོད
བཞག,འཇོག
བཞིབ,འཇིབ
བཞོ,འཇོ
བཞོག,གཞོག
བཞོས,འཇོ
བཟབ,གཟབ
བཟབས,གཟབ
བཟའ,ཟ
བཟར,འཛར
བཟས,ཟ
བཟུང,འཛིན
བཟུར,འཛུར
བཟེག,འཛེག
བཟེད,འཛེད
བཟླ,ཟློ
བཟླས,ཟློ
བཟླུག,ཟླུག
བཟླུགས,ཟླུག
བཟླུམ,ཟླུམ
བཟླུམས,ཟླུམ
བཟློག,ཟློག
བཟློགས,ཟློག
བརྐམ,རྐམ
བརྐམས,རྐམ
བརྐྱང,རྐྱོང
བརྐྱངས,རྐྱོང
བརྒད,བགད
བརྒྱང,རྒྱོང
བརྒྱངས,རྒྱོང
བརྒྱབ,རྒྱག
བརྒྱུ,རྒྱུད
བརྒྱུག,རྒྱུག
བརྒྱུགས,རྒྱུག
བརྒྱུང,རྒྱུང
བརྒྱུངས,རྒྱུང
བརྒྱུས,རྒྱུད
བརྒྱོ,རྒྱོ
བརྒྱོས,རྒྱོ
བརྔ,རྔ
བརྔབ,རྔབ
བརྔབས,རྔབ
བརྔས,རྔ
བརྔུབ,རྔུབ
བརྔུབས,རྔུབ
བརྗེ,རྗེ
བརྙ,རྙ
བརྙང,རྙང
བརྙངས,རྙང
བརྙབ,རྙབ
བརྙབས,རྙབ
བརྙས,རྙ
བརྙིད,རྙིད
བརྙིས,རྙིད
བརྙོག,རྙོག
བརྙོགས,རྙོག
བརྙོང,རྙོང
བརྙོངས,རྙོང
བརྟ,རྟས
བརྟག,རྟོག
བརྟགས,རྟོག
བརྟབ,རྟབ
བརྟབས,རྟབ
བརྟས,རྟས
བརྟིབ,རྟིབ
བརྟིབས,རྟིབ
བརྡུང,རྡུང
བརྡུངས,རྡུང
བརྡེག,རྡེག
བརྡེགས,རྡེག
བརྣག,རྣོག
བརྣགས,རྣོག
བརྣང,རྣོང
བརྣངས,རྣོང
བརྣབ,རྣབ
བརྣབས,རྣབ
བརྣུ,རྣུ
བརྣུར,རྣུ
བརྣོག,རྣོག
བརྣོགས,རྣོག
བརྩམ,རྩོམ
བརྩམས,རྩོམ
བརྩི,རྩི
བརྩིག,རྩིག
བརྩིགས,རྩིག
བརྩིངས,རྩེང
བརྩིས,རྩི
བརྩེ,རྩེ
བརྩེག,རྩེག
བརྩེགས,རྩེག
བརྩེང,རྩེང
བརྩེངས,རྩེང
བརྩེས,རྩེ
བརྫང,རྫོང
བརྫངས,རྫོང
བརྫད,རྫོད
བརྫས,རྫོ
བརྫི,རྫི
བརྫིས,རྫི
བརྫུ,རྫུ
བརྫུས,རྫུ
བརྫེ,རྫེ
བརྫེས,རྫེ
བརྫོ,རྫོ
བརྫོག,རྫོག
བརྫོགས,རྫོག
བརླབ,རློབ
བརླབས,རློབ
བརླམ,རློམ
བརླམས,རློམ
བརླིང,རླིང
བརླིངས,རླིང
བརློང,རློང
བརློངས,རློང
བལ,འབལ
བལྟ,ལྟ
བལྟབ,ལྟབ
བལྟབས,ལྟབ
བལྟས,ལྟ
བལྟེབ,ལྟེབ
བལྟེབས,ལྟེབ
བལྡེག,ལྡེག
བལྡེགས,ལྡེག
བཤང,གཤོང
བཤངས,གཤོང
བཤམ,གཤོམ
བཤས,བཤའ
བཤིགས,ཤིག
བཤུག,ཤུག
བཤུགས,ཤུག
བཤུང,གཤུང
བཤུངས,གཤུང
བཤུབ,ཤུབ
བཤུབས,ཤུབ
བཤུམས,ཤུམ
བཤོགས,ཤོགས
བསག,གསོག
བསགས,གསོག
བསངས,བསང
བསད,གསོད
བསབ,གསོབ
བསབས,གསོབ
བསམ,སེམས
བསམས,སེམས
བསིག,གསིག
བསིགས,གསིག
བསིང,གསིང
བསིངས,གསིང
བསུབ,སུབ
བསུམ,སུམ
བསུམས,སུམ
བསེག,གསེག
བསེགས,གསེག
བསོག,གསོག
བསོགས,གསོག
བསོངས,བསང
བསོས,བསོ
བསྐང,སྐོང
བསྐངས,སྐོང
བསྐམ,སྐེམ
བསྐམས,སྐེམ
བསྐུ,སྐུད
བསྐུག,སྐུག
བསྐུགས,སྐུག
བསྐུང,སྐུང
བསྐུངས,སྐུང
བསྐུམ,སྐུམ
བསྐུམས,སྐུམ
བསྐུས,སྐུད
བསྐོ,སྐོ
བསྐོང,སྐོང
བསྐོངས,སྐོང
བསྐོས,སྐོ
བསྐྱ,སྐྱ
བསྐྱམ,སྐྱོམ
བསྐྱམས,སྐྱོམ
བསྐྱས,སྐྱ
བསྐྱི,སྐྱི
བསྐྱིས,སྐྱི
བསྐྱུག,སྐྱུག
བསྐྱུགས,སྐྱུག
བསྐྱུང,སྐྱུང
བསྐྱུངས,སྐྱུང
བསྐྱོག,སྐྱོག
བསྐྱོགས,སྐྱོག
བསྐྱོམ,སྐྱོམ
བསྐྱོམས,སྐྱོམ
བསྐྲུ,སྐྲུ
བསྐྲུས,སྐྲུ
བསྐྲོག,སྐྲོག
བསྐྲོགས,སྐྲོག
བསྒག,སྒོག
བསྒགས,སྒོག
བསྒབ,སྒབ
བསྒབས,སྒབ
བསྒོངས,སྒོང
བསྒོམ,སྒོམ
བསྒོམས,སྒོམ
བསྒྱང,སྒྱང
བསྒྱངས,སྒྱང
བསྒྱིང,སྒྱིང
བསྒྱིངས,སྒྱིང
བསྒྲག,སྒྲོག
བསྒྲགས,སྒྲོག
བསྒྲང,སྒྲང
བསྒྲངས,སྒྲང
བསྒྲད,བགྲད
བསྒྲིག,སྒྲིག
བསྒྲིགས,སྒྲིག
བསྒྲིབ,སྒྲིབ
བསྒྲིབས,སྒྲིབ
བསྒྲིམ,སྒྲིམ
བསྒྲིམས,སྒྲིམ
བསྒྲུག,སྒྲུག
བསྒྲུགས,སྒྲུག
བསྒྲུབ,སྒྲུབ
བསྒྲུབས,སྒྲུབ
བསྒྲེང,སྒྲེང
བསྒྲེངས,སྒྲེང
བསྒྲོ,སྒྲོ
བསྒྲོག,སྒྲོག
བསྒྲོགས,སྒྲོག
བསྒྲོད,སྒྲོད
བསྒྲོས,སྒྲོ
བསྔང,སྔངས
བསྔངས,སྔངས
བསྔོག,སྔོག
བསྔོགས,སྔོག
བསྙག,སྙོག
བསྙགས,སྙོག
བསྙབ,སྙོབ
བསྙབས,སྙོབ
བསྙམ,སྙོམ
བསྙམས,སྙོམ
བསྙིག,སྙིག
བསྙིགས,སྙིག
བསྙུག,སྙུག
བསྙུགས,སྙུག
བསྙུང,སྙུང
བསྙུངས,སྙུང
བསྙེ,སྙེ
བསྙེག,སྙེག
བསྙེགས,སྙེག
བསྙེང,སྙེང
བསྙེངས,སྙེང
བསྙེམ,སྙེམ
བསྙེམས,སྙེམ
བསྙེས,སྙེ
བསྙོག,སྙོག
བསྙོགས,སྙོག
བསྙོལ,སྙལ
བསྟང,སྟང
བསྟངས,སྟང
བསྟན,སྟོན
བསྟནད,སྟོན
བསྟབ,སྟོབ
བསྟབས,སྟོབ
བསྟིང,སྟིང
བསྟིངས,སྟིང
བསྟིམ,སྟིམ
བསྟིམས,སྟིམ
བསྟུང,སྟུང
བསྟུངས,སྟུང
བསྟོང,སྟོང
བསྟོངས,སྟོང
བསྡམ,སྡོམ
བསྡམས,སྡོམ
བསྡིག,སྡིག
བསྡིགས,སྡིག
བསྡུ,སྡུད
བསྡུམ,སྡུམ
བསྡུམས,སྡུམ
བསྡུས,སྡུད
བསྡེབ,སྡེབ
བསྡེབས,སྡེབ
བསྡོ,སྡོ
བསྡོག,སྡོག
བསྡོགས,སྡོག
བསྡོང,སྡོང
བསྡོངས,སྡོང
བསྡོམ,སྡོམ
བསྡོམས,སྡོམ
བསྡོས,སྡོ
བསྣུབ,སྣུབ
བསྣུབས,སྣུབ
བསྣེམ,སྣེམ
བསྣེམས,སྣེམ
བསྣོ,སྣོ
བསྣོས,སྣོ
བསྩགས,བསགས
བསྲང,སྲོང
བསྲངས,སྲོང
བསྲབ,སྲབ
བསྲབས,སྲབ
བསྲི,སྲི
བསྲིང,སྲིང
བསྲིངས,སྲིང
བསྲིས,སྲི
བསྲུང,སྲུང
བསྲུངས,སྲུང
བསྲུབ,སྲུབ
བསྲུབས,སྲུབ
བསྲེ,སྲེ
བསྲེག,སྲེག
བསྲེགས,སྲེག
བསྲེས,སྲེ
བསྲོ,སྲོ
བསྲོས,སྲོ
བསླ,སླ
བསླང,སློང
བསླངས,སློང
བསླབ,སློབ
བསླབས,སློབ
བསླས,སླ
བསླུ,སླུ
བསླུས,སླུ
བསླེ,སླེ
བསླེབ,སླེབ
བསླེབས,སླེབས
བསླེས,སླེ
བསློག,སློག
བསློགས,སློག
བོག,འབོགས
བོབས,འབབ
བོལ,འབལ
བྱ,བྱེད
བྱང,འབྱང
བྱབས,བྱབ
བྱས,བྱེད
བྱི,འབྱི
བྱིང,འབྱིང
བྱིངས,འབྱིང
བྱིལ,འབྱིལ
བྱུང,འབྱུང
བྱེ,འབྱེ
བྱེས,འབྱེ
བྱོང,འབྱང
བྱོབས,བྱབ
བྱོས,བྱེད
བྲད,འབྲད
བྲབ,འབྲབ
བྲབས,འབྲབ
བྲལ,འབྲལ
བྲི,འབྲི
བྲིམ,འབྲིམ
བྲིམས,འབྲིམ
བྲུབ,འབྲུབ
བྲུབས,འབྲུབ
བྲུལ,འབྲུལ
བྲེག,འབྲེག
བྲེགས,འབྲེག
བྲོགས,འབྲེག
བླགས,བླག
བླང,ལེན
བླངས,ལེན
བློག,བླག
བློགས,བླག
མཁུ,འཁུ
མཁུན,འཁུན
མཁོན,འཁོན
མགོར,མགར
མངགས,མངག
མངོགས,མངག
མཆིས,མཆི
མཇོལ,མཇལ
མཉེད,ཉེད
མནགས,མནག
མནབ,ནབ
མནབས,ནབ
མནམ,ནོམ
མནམས,ནོམ
མནོགས,མནག
མནོང,ནོངས
མནོད,ནོད
མནོལ,མནལ
མཚོན,མཚན
